date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2013-05-22,ms,0.0,0.0,10.8211451855,0.0,1.0
2013-05-23,ms,0.0,0.0,6.91257463094,0.0,1.0
2013-05-29,ms,0.0,0.0,6.56283329751,0.0,0.0
2013-05-30,ms,0.0,0.0,6.81621711764,0.0,2.0
2013-05-31,ms,0.0,0.0,6.7803747122,0.0,1.0
2013-06-06,ms,0.0,0.0,10.2909063736,0.0,1.0
2013-06-13,ms,0.0,0.0,7.77763396709,0.0,1.0
2013-06-18,ms,0.0,0.0,6.15885743568,0.0,1.0
2013-06-19,ms,0.0,0.0,6.83155717255,0.0,2.0
2013-06-20,ms,0.0,0.0,6.81951431275,0.0,2.0
2013-06-21,ms,0.0,0.0,10.3799635993,0.0,1.0
2013-06-22,ms,0.0,0.0,7.24729178523,0.0,0.0
2013-07-23,ms,0.0,0.0,6.86717228231,0.0,5.0
2013-07-24,ms,0.0,0.0,14.699812916,0.0,5.0
2013-07-25,ms,0.0,0.0,17.170771518,0.0,5.0
2013-07-26,ms,0.0,0.0,13.9198926659,0.0,3.0
2013-07-27,ms,0.0,0.0,15.8722760926,0.0,0.0
2013-07-29,ms,0.0,0.0,15.8848669579,0.0,1.0
2013-07-30,ms,0.0,0.0,17.7948723594,0.0,2.0
2013-07-31,ms,0.0,0.0,17.2685144671,0.0,1.0
2013-08-02,ms,0.0,0.0,13.3640668751,0.0,2.0
2013-08-05,ms,0.0,1.0,6.74967726983,0.0,11.0
2013-08-06,ms,0.0,1.0,10.5457410635,0.0,13.0
2013-08-07,ms,0.0,1.0,7.00656399771,0.0,10.0
2013-08-09,ms,0.0,0.0,11.453991989,0.0,4.0
2013-08-10,ms,0.0,0.0,23.1816196881,0.0,1.0
2013-08-11,ms,0.0,0.0,34.8795497426,2.26107852539,3.0
2013-08-12,ms,0.0,0.0,31.9332755194,0.813913766718,4.0
2013-08-13,ms,0.0,0.0,36.4900228444,1.58179126698,4.0
2013-08-14,ms,0.0,0.0,30.6365973054,0.721056426542,5.0
2013-08-15,ms,0.0,0.0,20.0926163723,0.0,6.0
2013-08-16,ms,0.0,0.0,17.5423995185,0.0,4.0
2013-08-17,ms,0.0,0.0,8.39460917566,0.0,2.0
2013-08-18,ms,0.0,0.0,14.4867099252,0.0,1.0
2013-08-19,ms,0.0,0.0,18.2453518101,0.0,3.0
2013-08-20,ms,0.0,0.0,39.1822806436,-0.0,4.0
2013-08-21,ms,0.0,0.0,83.775923347,-0.0,5.0
2013-08-22,ms,0.0,0.0,135.214179448,-0.0,9.0
2013-08-23,ms,0.0,0.0,155.244702864,-0.0,9.0
2013-08-24,ms,0.0,0.0,120.765147347,-0.0,9.0
2013-08-25,ms,0.0,0.0,85.7928021505,-0.0,13.0
2013-08-26,ms,0.0,0.0,169.215623288,-0.0,15.0
2013-08-27,ms,0.0,0.0,119.158337487,-0.0,14.0
2013-08-28,ms,0.0,0.0,98.1993912172,-0.0,15.0
2013-08-29,ms,0.0,0.0,98.1247736824,-0.0,22.0
2013-08-30,ms,0.0,0.0,72.9681690618,0.0,20.0
2013-08-31,ms,0.0,0.0,74.1568505273,0.0,28.0
2013-09-01,ms,0.0,0.0,103.81497706,0.742435077574,41.0
2013-09-02,ms,0.0,0.0,122.01432292,1.15080189605,35.0
2013-09-03,ms,0.0,0.0,113.879493029,1.20097469047,38.0
2013-09-04,ms,0.0,0.0,107.182228846,1.65102211168,48.0
2013-09-05,ms,0.0,0.0,119.847637932,4.61949537518,44.0
2013-09-06,ms,0.0,0.0,97.2733050107,4.81269516701,45.0
2013-09-07,ms,0.0,0.0,100.723726352,10.3220416302,44.0
2013-09-08,ms,0.0,0.0,109.446483548,18.6520508082,37.0
2013-09-09,ms,0.0,0.0,84.1770304933,12.9345506185,37.0
2013-09-10,ms,0.0,0.0,90.2561130514,16.0558282407,41.0
2013-09-11,ms,0.0,0.0,95.7362071068,22.8763770195,41.0
2013-09-12,ms,0.0,0.0,92.9640735046,21.1113163179,40.0
2013-09-13,ms,0.0,0.0,90.7141834103,20.8984191259,41.0
2013-09-14,ms,0.0,0.0,91.7484081839,20.0871776648,40.0
2013-09-15,ms,0.0,0.0,78.1913035561,15.6997231615,41.0
2013-09-16,ms,0.0,0.0,83.3783020746,15.1770762221,53.0
2013-09-17,ms,0.0,0.0,83.4114362463,15.5027321627,40.0
2013-09-18,ms,0.0,0.0,83.2889687188,17.265058549,31.0
2013-09-19,ms,0.0,0.0,77.4919171293,16.5360765102,33.0
2013-09-20,ms,0.0,0.0,75.6805885866,16.3958079497,29.0
2013-09-21,ms,0.0,0.0,73.9821923375,17.1019457683,24.0
2013-09-22,ms,0.0,0.0,76.5309752675,16.825752499,29.0
2013-09-23,ms,0.0,0.0,92.7650266664,24.4903398039,28.0
2013-09-24,ms,0.0,0.0,73.2031876891,16.9967695651,34.0
2013-09-25,ms,0.0,0.0,58.011457067,11.4598679943,32.0
2013-09-26,ms,0.0,0.0,58.2534060235,12.7627259809,36.0
2013-09-27,ms,0.0,0.0,54.5208402569,10.0885951941,40.0
2013-09-28,ms,0.0,0.0,47.6249232457,7.17416801671,42.0
2013-09-29,ms,0.0,0.0,56.226060611,9.60632506684,46.0
2013-09-30,ms,0.0,0.0,54.153704262,9.67068477745,38.0
2013-10-01,ms,0.0,0.0,61.5208265728,13.3131700043,32.0
2013-10-02,ms,0.0,0.0,58.6518127392,11.7745518392,35.0
2013-10-03,ms,0.0,0.0,64.2195732779,14.5713954534,28.0
2013-10-04,ms,0.0,0.0,71.8698899669,16.9091684294,25.0
2013-10-05,ms,0.0,0.0,73.8953000159,16.9493441984,20.0
2013-10-06,ms,0.0,0.0,78.2813321625,19.7444949689,20.0
2013-10-07,ms,0.0,0.0,68.2401117858,14.8616229708,33.0
2013-10-08,ms,0.0,0.0,59.400803817,10.5245973792,25.0
2013-10-09,ms,0.0,0.0,64.4116596242,9.73285059062,26.0
2013-10-10,ms,0.0,0.0,54.2900359435,6.77346050207,30.0
2013-10-11,ms,0.0,0.0,49.3677446494,5.52566347925,29.0
2013-10-12,ms,0.0,0.0,43.0731684728,3.54439603801,24.0
2013-10-13,ms,0.0,0.0,43.0862132881,3.4864835593,25.0
2013-10-14,ms,0.0,0.0,65.3545909043,7.61454475386,30.0
2013-10-15,ms,0.0,0.0,53.7062224912,5.16052839652,34.0
2013-10-16,ms,0.0,0.0,52.2857653811,6.43989688803,30.0
2013-10-17,ms,0.0,0.0,55.3895427704,9.52554188615,24.0
2013-10-18,ms,0.0,0.0,54.9974786947,9.3607564392,33.0
2013-10-19,ms,0.0,0.0,48.0121135649,6.66337212322,31.0
2013-10-20,ms,0.0,0.0,52.6240293914,7.24668755378,32.0
2013-10-21,ms,0.0,0.0,58.1535398522,9.49072826917,29.0
2013-10-22,ms,0.0,0.0,62.9116417947,12.8818770897,26.0
2013-10-23,ms,0.0,0.0,58.8070114975,10.0438474163,28.0
2013-10-24,ms,0.0,0.0,49.8512723767,7.05103631756,25.0
2013-10-25,ms,0.0,0.0,60.8499638059,11.9729235787,26.0
2013-10-26,ms,0.0,0.0,57.6374556624,11.4362043725,32.0
2013-10-27,ms,0.0,0.0,58.5928746942,11.3297675065,30.0
2013-10-28,ms,0.0,0.0,58.505807756,9.33676445324,26.0
2013-10-29,ms,0.0,0.0,52.2866094395,7.70632362372,23.0
2013-10-30,ms,0.0,0.0,55.1260513067,9.71644586824,26.0
2013-10-31,ms,0.0,0.0,49.6642613813,7.56337570611,24.0
2013-11-01,ms,0.0,0.0,53.3549057017,7.19692421666,25.0
2013-11-02,ms,0.0,0.0,60.4195251802,10.8337010494,31.0
2013-11-03,ms,0.0,0.0,56.2272971223,9.87482662209,39.0
2013-11-04,ms,0.0,0.0,52.0967357064,6.64297244005,34.0
2013-11-05,ms,0.0,0.0,50.2187139834,5.66837739501,33.0
2013-11-06,ms,0.0,0.0,50.3129933146,7.18770803376,30.0
2013-11-07,ms,0.0,0.0,47.2782394429,6.53146650817,34.0
2013-11-08,ms,0.0,0.0,52.2504868229,6.9120601646,31.0
2013-11-09,ms,0.0,0.0,59.8520612207,10.3614884346,38.0
2013-11-10,ms,0.0,0.0,69.088654018,15.444786418,34.0
2013-11-11,ms,0.0,0.0,63.8653542424,12.735763798,29.0
2013-11-12,ms,0.0,0.0,59.2539153563,11.7885414508,33.0
2013-11-13,ms,0.0,0.0,55.7451062123,9.86863889529,35.0
2013-11-14,ms,0.0,0.0,64.5232172706,10.4097396697,41.0
2013-11-15,ms,0.0,0.0,59.2312170619,8.26489182585,41.0
2013-11-16,ms,0.0,0.0,67.1406629913,11.0385085753,39.0
2013-11-17,ms,0.0,0.0,61.8592806834,9.89387270796,44.0
2013-11-18,ms,0.0,0.0,55.1170638282,6.824617843,36.0
2013-11-19,ms,0.0,0.0,62.7796297072,8.72725688445,29.0
2013-11-20,ms,0.0,0.0,64.0193579325,10.3637381312,34.0
2013-11-21,ms,0.0,0.0,70.8303318774,15.3703267866,36.0
2013-11-22,ms,0.0,0.0,72.7471588485,16.5759628159,26.0
2013-11-23,ms,0.0,0.0,66.9476623241,16.2588520032,23.0
2013-11-24,ms,0.0,0.0,75.9820457805,19.4457960043,27.0
2013-11-25,ms,0.0,0.0,65.3250445172,14.6213047287,22.0
2013-11-26,ms,0.0,0.0,53.5223799395,10.2713976643,18.0
2013-11-27,ms,0.0,0.0,60.4486843667,13.8859363487,22.0
2013-11-28,ms,0.0,0.0,64.1435311781,14.3231161585,19.0
2013-11-29,ms,0.0,0.0,49.8396279585,8.11431299866,20.0
2013-11-30,ms,0.0,0.0,47.0096573871,7.191331938,26.0
2013-12-01,ms,0.0,0.0,52.7773533862,9.18967817647,24.0
2013-12-02,ms,0.0,0.0,44.0827230737,6.4708282134,25.0
2013-12-03,ms,0.0,0.0,40.0482229589,4.38811285918,25.0
2013-12-04,ms,0.0,0.0,44.3603156989,6.38684821066,23.0
2013-12-05,ms,0.0,0.0,40.8099658247,4.47469319019,24.0
2013-12-06,ms,0.0,0.0,43.6102142757,5.14459027872,23.0
2013-12-07,ms,0.0,0.0,52.0408413363,7.96733359978,26.0
2013-12-08,ms,0.0,0.0,48.6495534614,7.06474427018,26.0
2013-12-09,ms,0.0,0.0,50.8430899359,8.01974629053,22.0
2013-12-10,ms,0.0,0.0,49.9222822851,8.08296208865,17.0
2013-12-11,ms,0.0,0.0,45.7064656909,7.23618564611,16.0
2013-12-12,ms,0.0,0.0,47.9895464124,7.00049112521,14.0
