date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,ug,0.0,0.0,175.351413911,46.7352745356,99.0
2011-09-09,ug,0.0,0.0,190.02915176,36.122008153,87.0
2011-09-11,ug,0.0,0.0,167.702409712,44.3528772387,96.0
2011-09-12,ug,0.0,0.0,173.321982603,54.8246370891,88.0
2011-09-13,ug,0.0,0.0,166.240169198,48.0928988448,94.0
2011-09-14,ug,0.0,0.0,152.285389797,45.2590879289,142.0
2011-09-15,ug,0.0,0.0,185.221421231,46.543588463,156.0
2011-09-16,ug,0.0,0.0,174.660026031,32.2926024914,118.0
2011-09-17,ug,0.0,0.0,161.344416495,26.7984376058,94.0
2011-09-18,ug,0.0,0.0,193.392557532,31.8083640024,91.0
2011-09-19,ug,0.0,0.0,189.428263787,28.9606106035,107.0
2011-09-20,ug,0.0,0.0,186.437847364,33.1404163618,117.0
2011-09-21,ug,0.0,0.0,266.253497226,54.1706810692,136.0
2011-09-22,ug,0.0,0.0,269.564105274,69.6964955754,106.0
2011-09-23,ug,0.0,0.0,209.385940035,52.8658350149,83.0
2011-09-24,ug,0.0,0.0,168.88866897,41.3775085643,80.0
2011-09-25,ug,0.0,0.0,164.470742299,38.3348272656,84.0
2011-09-26,ug,0.0,0.0,173.848735798,48.5816940978,92.0
2011-09-27,ug,0.0,0.0,190.218818688,57.4077073214,93.0
2011-09-28,ug,0.0,0.0,212.755253654,71.3792741731,91.0
2011-09-29,ug,0.0,0.0,167.468408361,51.3005293998,85.0
2011-09-30,ug,0.0,0.0,149.139933264,36.2398438713,115.0
2011-10-01,ug,0.0,0.0,152.601034128,35.0912927107,77.0
2011-10-02,ug,0.0,0.0,144.598130199,35.9050974557,73.0
2011-10-03,ug,0.0,0.0,173.372711436,41.7850978899,98.0
2011-10-04,ug,0.0,0.0,171.778438783,39.487779126,105.0
2011-10-05,ug,0.0,0.0,179.246084195,41.1430245606,88.0
2011-10-06,ug,0.0,0.0,148.248569981,42.8309365709,83.0
2011-10-07,ug,0.0,0.0,186.055638218,61.3066818009,83.0
2011-10-08,ug,0.0,0.0,138.817176471,34.7877433039,71.0
2011-10-09,ug,0.0,0.0,144.26066437,33.8084867638,83.0
2011-10-10,ug,0.0,0.0,168.541872704,46.1873705385,78.0
2011-10-11,ug,0.0,0.0,185.155077053,49.971388884,98.0
2011-10-12,ug,0.0,0.0,151.510347837,37.6539104078,88.0
2011-10-13,ug,0.0,0.0,157.026237497,40.8380243591,91.0
2011-10-14,ug,0.0,0.0,167.052600757,38.1889575724,83.0
2011-10-15,ug,0.0,0.0,119.458742245,31.2242236591,67.0
2011-10-16,ug,0.0,0.0,134.941991449,39.3468021245,75.0
2011-10-17,ug,0.0,0.0,133.519435259,34.0010414862,94.0
2011-10-18,ug,0.0,0.0,157.84189153,47.0852559644,95.0
2011-10-19,ug,0.0,0.0,146.221963346,42.1829172065,92.0
2011-10-20,ug,0.0,0.0,169.972166194,37.2650082436,94.0
2011-10-21,ug,0.0,0.0,134.164192993,31.9276110106,78.0
2011-10-22,ug,0.0,0.0,117.912759615,26.4146492638,75.0
2011-10-23,ug,0.0,0.0,118.768599597,32.4522524145,69.0
2011-10-24,ug,0.0,0.0,161.047562359,38.3677251345,78.0
2011-10-25,ug,0.0,0.0,144.451565096,41.5360021099,71.0
2011-10-26,ug,0.0,0.0,164.54134225,33.3892356101,78.0
2011-10-27,ug,0.0,0.0,156.530170858,30.5566901196,87.0
2011-10-28,ug,0.0,0.0,139.933228718,25.0361069921,82.0
2011-10-29,ug,0.0,0.0,131.951476582,28.5662913038,63.0
2011-10-30,ug,0.0,0.0,122.164045847,23.0544526689,62.0
2011-10-31,ug,0.0,0.0,134.187960374,29.377965882,79.0
2011-11-01,ug,0.0,0.0,115.868458405,33.0730653617,80.0
2011-11-02,ug,0.0,0.0,135.332861906,27.7934665176,72.0
2011-11-03,ug,0.0,0.0,150.629004714,34.4307182498,74.0
2011-11-04,ug,0.0,0.0,162.997089049,29.8163348263,82.0
2011-11-05,ug,0.0,0.0,138.527973507,22.580820316,77.0
2011-11-06,ug,0.0,0.0,129.22041151,25.4072709706,76.0
2011-11-07,ug,0.0,0.0,135.728222678,36.9900574686,86.0
2011-11-08,ug,0.0,0.0,153.039809756,32.4777385425,89.0
2011-11-09,ug,0.0,0.0,174.374082016,21.0694446249,78.0
2011-11-10,ug,0.0,0.0,158.637258334,29.2132442671,81.0
2011-11-11,ug,0.0,0.0,131.921756953,39.4566342666,75.0
2011-11-12,ug,0.0,0.0,117.154812801,32.3621089381,69.0
2011-11-13,ug,0.0,0.0,122.603991695,30.8034117864,56.0
2011-11-14,ug,0.0,0.0,144.812223851,36.8096817447,59.0
2011-11-15,ug,0.0,0.0,156.397903603,34.9491902175,80.0
2011-11-16,ug,0.0,0.0,145.734555143,24.0987423675,74.0
2011-11-17,ug,0.0,0.0,134.592362311,31.2519635345,66.0
2011-11-18,ug,0.0,0.0,121.461141557,35.5688699067,61.0
2011-11-19,ug,0.0,0.0,119.740883618,31.0356634146,54.0
2011-11-20,ug,0.0,0.0,104.519004486,22.2502894785,42.0
2011-11-21,ug,0.0,0.0,112.353470894,24.6804864844,64.0
2011-11-22,ug,0.0,0.0,147.035412221,33.0203580791,80.0
2011-11-23,ug,0.0,0.0,166.44419748,27.4987738233,86.0
2011-11-24,ug,0.0,0.0,219.873878309,25.9657316027,85.0
2011-11-25,ug,0.0,0.0,194.191598768,8.99503714691,56.0
2011-11-26,ug,0.0,0.0,164.563757873,10.3233722052,56.0
2011-11-27,ug,0.0,0.0,93.8997255247,13.4613752193,58.0
2011-11-28,ug,0.0,0.0,116.936544556,27.4154514354,69.0
2011-11-29,ug,0.0,0.0,139.861255746,29.2937892026,64.0
2011-11-30,ug,0.0,0.0,142.481870379,21.2301187216,60.0
2011-12-01,ug,0.0,0.0,130.794552175,13.2297894518,79.0
2011-12-02,ug,0.0,0.0,128.098304508,5.12955680957,74.0
2011-12-03,ug,0.0,0.0,116.555546261,8.71749039824,69.0
2011-12-04,ug,0.0,0.0,97.3200921357,19.184016777,44.0
2011-12-05,ug,0.0,0.0,143.005058304,31.3611044465,73.0
2011-12-06,ug,0.0,0.0,126.879850829,28.1815505837,77.0
2011-12-07,ug,0.0,0.0,124.515384767,25.994834258,72.0
2011-12-08,ug,0.0,0.0,141.495609824,30.4233061965,76.0
2011-12-09,ug,0.0,0.0,141.009435237,28.8619280313,70.0
2011-12-10,ug,0.0,0.0,127.310356798,29.2009590164,55.0
2011-12-11,ug,0.0,0.0,98.6062052628,18.1228096299,62.0
2011-12-12,ug,0.0,0.0,120.800885349,30.8441878979,84.0
2011-12-13,ug,0.0,0.0,139.305980738,36.1896126209,72.0
2011-12-14,ug,0.0,0.0,135.012778446,29.9541747159,69.0
2011-12-15,ug,0.0,0.0,138.556536677,32.0859326063,70.0
2011-12-16,ug,0.0,0.0,131.069985718,31.7234926584,83.0
2011-12-17,ug,0.0,0.0,111.068388333,22.5992435924,69.0
2011-12-18,ug,0.0,0.0,116.734886343,26.7584904966,62.0
2011-12-19,ug,0.0,0.0,144.918122396,39.2118829559,71.0
2011-12-20,ug,0.0,0.0,129.373401038,32.9022005038,74.0
2011-12-21,ug,0.0,0.0,127.049369265,29.9293084906,85.0
2011-12-22,ug,0.0,0.0,127.927209853,31.5951141171,78.0
2011-12-23,ug,0.0,0.0,133.884392083,39.2561857326,75.0
2011-12-24,ug,0.0,0.0,115.080596055,29.1037654738,59.0
2011-12-25,ug,0.0,0.0,127.640163698,27.2055885627,79.0
2011-12-26,ug,0.0,0.0,120.877250647,29.0158077114,78.0
2011-12-27,ug,0.0,0.0,137.694469913,31.9126746057,65.0
2011-12-28,ug,0.0,0.0,157.149541872,36.6545747144,65.0
2011-12-29,ug,0.0,0.0,143.009328507,34.3011349117,62.0
2011-12-30,ug,0.0,0.0,143.883341992,32.9955891883,60.0
2011-12-31,ug,0.0,0.0,112.156998424,24.0747908529,54.0
2012-01-01,ug,0.0,0.0,126.573780199,27.6355125733,68.0
2012-01-02,ug,0.0,0.0,162.980085242,31.5172882066,81.0
2012-01-03,ug,0.0,0.0,124.439658728,26.550146042,86.0
2012-01-04,ug,0.0,0.0,129.712937737,28.2017556224,93.0
2012-01-05,ug,0.0,0.0,151.900721574,24.0110052365,94.0
2012-01-06,ug,0.0,0.0,173.772866026,15.843925944,82.0
2012-01-07,ug,0.0,0.0,187.39620854,19.9240523156,65.0
2012-01-09,ug,0.0,0.0,277.432411837,29.594581356,78.0
2012-01-10,ug,0.0,0.0,242.922206555,31.6742873366,68.0
2012-01-11,ug,0.0,0.0,176.617964869,40.2270191803,80.0
2012-01-12,ug,0.0,0.0,187.686448605,32.7249729512,82.0
2012-01-13,ug,0.0,0.0,170.327458148,22.5072100061,67.0
2012-01-14,ug,0.0,0.0,124.948219621,15.0152505078,62.0
2012-01-16,ug,0.0,0.0,140.225022856,17.2230549856,75.0
2012-01-17,ug,0.0,0.0,141.714798112,14.275706565,87.0
2012-01-18,ug,0.0,0.0,139.016023475,37.6534116758,72.0
2012-01-19,ug,0.0,0.0,148.524306978,32.9525511404,66.0
2012-01-20,ug,0.0,0.0,134.542948335,26.2913429877,63.0
2012-01-21,ug,0.0,0.0,123.228132314,20.8513054826,53.0
2012-01-22,ug,0.0,0.0,133.498088018,22.9747139274,60.0
2012-01-23,ug,0.0,0.0,144.36616765,22.5207555059,67.0
2012-01-24,ug,0.0,0.0,164.098310416,33.0162322583,65.0
2012-01-25,ug,0.0,0.0,144.533949807,29.0950173986,64.0
2012-01-26,ug,0.0,0.0,124.416843424,23.4016202133,50.0
2012-01-27,ug,0.0,0.0,120.072822786,20.9161334444,55.0
2012-01-28,ug,0.0,0.0,103.170178096,16.4577354503,48.0
2012-01-29,ug,0.0,0.0,121.826046132,20.1314357119,49.0
2012-01-30,ug,0.0,0.0,128.780458957,28.9255103115,65.0
2012-01-31,ug,0.0,0.0,126.116287324,28.025880758,66.0
