date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-11,va,0.0,0.0,7.54145850459,0.0,0.0
2011-09-19,va,0.0,0.0,13.6334205723,0.0,2.0
2011-12-09,va,0.0,0.0,11.3614328221,0.0,0.0
2011-12-13,va,0.0,0.0,7.51985357224,0.0,2.0
2011-12-14,va,0.0,0.0,7.58745606591,0.0,1.0
2011-12-15,va,0.0,0.0,7.5489181499,0.0,1.0
2011-12-17,va,0.0,0.0,7.87130258881,0.0,1.0
2011-12-23,va,0.0,0.0,6.8373263821,0.0,0.0
2011-12-24,va,0.0,0.0,6.68219879673,0.0,0.0
2012-01-11,va,0.0,0.0,8.14019807712,0.0,0.0
2012-01-19,va,0.0,0.0,7.80199206722,0.0,0.0
2012-03-10,va,0.0,0.0,10.4775543596,0.0,7.0
2012-03-11,va,0.0,0.0,25.023107047,0.0,11.0
2012-03-12,va,0.0,0.0,22.1121612927,0.0,7.0
2012-03-13,va,0.0,0.0,16.6754518877,0.0,10.0
2012-03-14,va,0.0,0.0,14.4159469046,0.0,11.0
2012-03-15,va,0.0,0.0,15.0317817598,0.0,4.0
2012-03-16,va,0.0,0.0,14.5461005577,0.0,3.0
2012-03-17,va,0.0,0.0,21.939616593,0.0,6.0
2012-03-18,va,0.0,0.0,30.4846401082,0.654278690428,6.0
2012-03-19,va,0.0,0.0,22.170776931,0.0,3.0
2012-03-20,va,0.0,0.0,29.2386145122,0.779180863268,3.0
2012-03-21,va,0.0,0.0,29.475148812,0.801044355801,2.0
2012-03-22,va,0.0,0.0,16.3302416405,0.0,4.0
2012-03-23,va,0.0,0.0,12.4877364685,0.0,3.0
2012-03-24,va,0.0,0.0,20.145391447,0.0,5.0
2012-03-25,va,0.0,0.0,21.3682836158,0.0,3.0
2012-03-26,va,0.0,0.0,12.7811728005,0.0,1.0
2012-03-27,va,0.0,0.0,12.7266562931,0.0,3.0
2012-03-28,va,0.0,0.0,10.48259431,0.0,3.0
2012-03-29,va,0.0,0.0,15.9228786726,0.0,5.0
2012-03-30,va,0.0,0.0,14.071610599,0.0,3.0
2012-03-31,va,0.0,0.0,19.152685358,0.0,2.0
2012-04-01,va,0.0,0.0,13.7181548819,0.0,2.0
2012-04-02,va,0.0,0.0,6.97659824287,0.0,2.0
2012-04-03,va,0.0,0.0,12.637274195,0.0,3.0
2012-04-04,va,0.0,0.0,13.490547708,0.0,2.0
2012-04-05,va,0.0,0.0,20.3819997899,0.0,4.0
2012-04-06,va,0.0,0.0,15.3176082041,0.0,4.0
2012-04-07,va,0.0,0.0,11.639709629,0.0,4.0
2012-04-08,va,0.0,0.0,11.2438462911,0.0,4.0
2012-04-09,va,0.0,0.0,11.3162988243,0.0,6.0
2012-04-10,va,0.0,0.0,14.2508761964,0.0,4.0
2012-04-11,va,0.0,0.0,11.5622654783,0.0,4.0
2012-04-12,va,0.0,0.0,17.9527340173,0.0,4.0
2012-04-13,va,0.0,0.0,20.0547936047,0.0,5.0
2012-04-14,va,0.0,0.0,18.6486336382,0.0,7.0
2012-04-15,va,0.0,0.0,17.8324818182,0.0,7.0
2012-04-16,va,0.0,0.0,21.4125337801,0.0,6.0
2012-04-17,va,0.0,0.0,15.2930307427,0.0,6.0
2012-04-18,va,0.0,0.0,17.5224224111,0.0,6.0
2012-04-19,va,0.0,0.0,17.0873439651,0.0,4.0
2012-04-20,va,0.0,0.0,19.0701334319,0.0,4.0
2012-04-21,va,0.0,0.0,24.5642773747,0.0,7.0
2012-04-22,va,0.0,0.0,24.9327452618,0.0,6.0
2012-04-23,va,0.0,0.0,20.6629418794,0.0,5.0
2012-04-24,va,0.0,0.0,20.6550598689,0.0,4.0
2012-04-25,va,0.0,0.0,22.5934986645,0.0,6.0
2012-04-26,va,0.0,0.0,17.1204863374,0.0,4.0
2012-04-27,va,0.0,0.0,16.3633562578,0.0,4.0
2012-04-28,va,0.0,0.0,23.3088212984,0.0,6.0
2012-04-29,va,0.0,0.0,21.8500281676,0.0,7.0
2012-04-30,va,0.0,0.0,19.8071536713,0.0,9.0
2012-05-01,va,0.0,0.0,17.5575942191,0.0,6.0
2012-05-02,va,0.0,0.0,21.558384074,0.0,4.0
2012-05-03,va,0.0,0.0,17.3504711438,0.0,4.0
2012-05-04,va,0.0,0.0,18.9987020354,0.0,6.0
2012-05-05,va,0.0,0.0,26.7714612815,0.0,11.0
2012-05-06,va,0.0,0.0,27.8975628354,0.0,19.0
2012-05-07,va,0.0,0.0,30.9724523709,0.0,25.0
2012-05-08,va,0.0,0.0,23.8846618424,0.0,19.0
2012-05-09,va,0.0,0.0,16.5688482003,0.0,8.0
2012-05-10,va,0.0,0.0,16.9672347672,0.0,8.0
2012-05-11,va,0.0,0.0,18.9455545138,0.0,9.0
2012-05-12,va,0.0,1.0,28.6291656721,0.749477386423,30.0
2012-05-13,va,0.0,0.0,43.7771661607,3.76813987778,31.0
2012-05-14,va,0.0,0.0,58.7538971549,6.91557346989,21.0
2012-05-15,va,0.0,0.0,46.4693835109,4.03768571077,10.0
2012-05-16,va,0.0,0.0,26.8081741564,0.0,7.0
2012-05-17,va,0.0,0.0,25.81091628,0.0,5.0
2012-05-18,va,0.0,0.0,29.2718765368,0.0,9.0
2012-05-19,va,0.0,0.0,70.2464485036,8.86234324336,21.0
2012-05-20,va,0.0,0.0,73.9984980944,9.195185232,26.0
2012-05-21,va,0.0,0.0,52.11107506,4.71352078687,25.0
2012-05-22,va,0.0,0.0,29.7516659323,0.844392452063,25.0
2012-05-23,va,0.0,0.0,23.7178822355,0.0,15.0
2012-05-24,va,0.0,0.0,18.3148816703,0.0,8.0
2012-05-25,va,0.0,0.0,26.5630139042,0.0,8.0
2012-05-26,va,0.0,0.0,47.9702929974,4.5607879237,5.0
2012-05-27,va,0.0,0.0,56.9904370355,7.13146846092,10.0
2012-05-28,va,0.0,0.0,54.9308277165,6.93430159042,8.0
2012-05-29,va,0.0,0.0,57.9957633467,6.62561613271,9.0
2012-05-30,va,0.0,0.0,36.5384643998,2.34951578088,7.0
2012-05-31,va,0.0,0.0,23.5311380569,0.0,7.0
2012-06-01,va,0.0,0.0,23.9056266238,0.0,8.0
2012-06-02,va,0.0,0.0,19.0754181728,0.0,10.0
2012-06-03,va,0.0,0.0,29.5848057613,0.712413937446,9.0
2012-06-04,va,0.0,0.0,23.5443962022,0.0,8.0
2012-06-05,va,0.0,0.0,26.008800226,0.0,8.0
2012-06-06,va,0.0,0.0,21.8307812993,0.0,8.0
2012-06-07,va,0.0,0.0,22.0203459329,0.0,8.0
2012-06-08,va,0.0,0.0,22.9711113732,0.0,10.0
2012-06-09,va,0.0,0.0,29.3030423954,0.795838319667,18.0
2012-06-10,va,0.0,0.0,25.8831536525,0.0,24.0
2012-06-11,va,0.0,0.0,23.1491702109,0.0,18.0
2012-06-12,va,0.0,0.0,22.7381417953,0.0,11.0
2012-06-13,va,0.0,0.0,22.0743846665,0.0,7.0
2012-06-14,va,0.0,0.0,24.0744282034,0.0,15.0
2012-06-15,va,0.0,1.0,28.423763671,0.8220322697,38.0
2012-06-16,va,0.0,0.0,41.626680708,4.05544610478,40.0
2012-06-17,va,0.0,0.0,51.6036426236,6.31391462631,36.0
2012-06-18,va,0.0,0.0,45.4560848649,4.08478170725,32.0
2012-06-19,va,0.0,0.0,33.587388432,0.785320200424,27.0
2012-06-20,va,0.0,1.0,23.5201554769,0.0,25.0
2012-06-21,va,0.0,0.0,34.4980980044,2.48662073942,27.0
2012-06-22,va,0.0,0.0,72.0708950893,15.0310599691,30.0
2012-06-23,va,0.0,0.0,76.8937962153,15.9796250451,31.0
2012-06-24,va,0.0,0.0,70.6668036987,13.4784127639,24.0
2012-06-25,va,0.0,0.0,68.7889928479,10.7003569379,35.0
2012-06-26,va,0.0,0.0,60.4559039998,7.75203686448,32.0
2012-06-27,va,0.0,0.0,56.0099260376,7.38076725559,24.0
2012-06-28,va,0.0,0.0,58.101743109,8.6977927473,26.0
2012-06-29,va,0.0,0.0,60.2301848196,9.69893293128,32.0
2012-06-30,va,0.0,0.0,62.6640149683,10.7819243889,29.0
2012-07-01,va,0.0,0.0,52.8062616066,6.25478928283,25.0
2012-07-02,va,0.0,0.0,69.5895448829,11.4203654589,16.0
2012-07-03,va,0.0,0.0,62.8220617017,10.6489370956,13.0
2012-07-04,va,0.0,0.0,49.5933470505,6.63093330925,13.0
2012-07-05,va,0.0,0.0,52.7677513618,7.23094051591,20.0
2012-07-06,va,0.0,0.0,61.6903018467,10.6082092743,28.0
2012-07-07,va,0.0,0.0,57.2473235934,8.80653134527,29.0
2012-07-08,va,0.0,0.0,51.6246090772,7.20860508352,27.0
2012-07-09,va,0.0,0.0,37.4094592597,3.2089547108,30.0
2012-07-10,va,0.0,0.0,32.6553599879,1.60166439129,28.0
2012-07-11,va,0.0,0.0,33.2705590787,1.66660377003,23.0
2012-07-12,va,0.0,0.0,46.7992273663,5.03846768162,27.0
2012-07-13,va,0.0,0.0,59.4720803031,9.15167544787,22.0
2012-07-14,va,0.0,0.0,60.3782415393,9.51709447527,25.0
2012-07-15,va,0.0,0.0,58.2104509668,8.4493086125,26.0
2012-07-16,va,0.0,0.0,61.6730500932,10.2592912759,22.0
2012-07-17,va,0.0,0.0,56.3977074066,9.84554167277,25.0
2012-07-18,va,0.0,0.0,48.7551172471,7.08767672057,27.0
2012-07-19,va,0.0,0.0,55.9604404516,8.45643152879,28.0
2012-07-20,va,0.0,0.0,48.8787897357,5.65222642932,26.0
2012-07-21,va,0.0,0.0,53.8703082379,7.40293892621,15.0
2012-07-22,va,0.0,0.0,56.5209723343,6.79609144733,7.0
2012-07-23,va,1.0,0.0,50.0396167921,5.39758259416,5.0
2012-07-24,va,0.0,0.0,54.2905821549,7.26181899984,10.0
2012-07-25,va,0.0,0.0,58.0587797687,7.99062240725,24.0
2012-07-26,va,0.0,0.0,57.1121316615,8.8737621115,28.0
2012-07-27,va,0.0,0.0,57.5941066308,7.55286989275,24.0
2012-07-28,va,0.0,0.0,38.3352695586,2.40104786573,21.0
2012-07-29,va,0.0,0.0,23.6964787168,0.0,17.0
2012-07-30,va,0.0,0.0,18.0450060819,0.0,17.0
2012-07-31,va,0.0,0.0,28.8422844977,0.822609342819,19.0
2012-08-01,va,0.0,0.0,52.9708036,6.66474387677,22.0
2012-08-02,va,0.0,0.0,61.294714201,9.23150150189,21.0
2012-08-03,va,0.0,0.0,51.3297859601,6.54889592678,19.0
2012-08-04,va,0.0,0.0,44.3417432503,4.76369374956,19.0
2012-08-05,va,0.0,0.0,37.910965638,3.1195352788,17.0
2012-08-06,va,0.0,0.0,40.8667070864,3.29543333849,21.0
2012-08-07,va,0.0,0.0,45.5453948002,3.97569953822,19.0
2012-08-08,va,0.0,0.0,47.5691159022,5.73432093662,18.0
2012-08-09,va,0.0,0.0,47.9640886263,5.04565985947,23.0
